timestamp,test-class,test-method,time,description,result
2021-12-05 19:05:55.693,acme.testing.authenticated.duty.AuthenticatedDutyListAndShowTest,listAndShowTest,140756,"[1] recordIndex=0, title=Trying a little test",OK
2021-12-05 19:06:00.508,acme.testing.authenticated.duty.AuthenticatedDutyListAndShowTest,listAndShowNegativeTest,4454,"[1] ",OK
2021-12-05 19:06:37.317,administrator.AdministratorConfigurationListTest,listAndShowTest,6068,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.10, language=English",OK
2021-12-05 19:06:43.812,administrator.AdministratorConfigurationListTest,listAndShowTest,6233,"[2] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.10, language=Español",OK
2021-12-05 19:07:20.577,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,7847,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.20, language=English",OK
2021-12-05 19:07:28.696,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,7841,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=0.10, language=English",OK
2021-12-05 19:07:36.801,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,7851,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, blood, threshold=0.20, language=English",OK
2021-12-05 19:07:45.334,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8200,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.20, language=Español",OK
2021-12-05 19:07:55.264,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,9251,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, sangre, threshold=0.10, language=Español",OK
2021-12-05 19:08:04.186,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8595,"[6] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, threshold=0.10, language=Español",OK
2021-12-05 19:08:12.044,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,7542,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=-2, language=English",OK
2021-12-05 19:08:19.008,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6665,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=2, language=English",OK
